 
5-03-2024 10:35:46 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://dpmptsp.tasikmalayakab.go.id/

5-03-2024 10:35:48 | IPs Spam list | IP: 212.80.210.118 ] | DNS: 212.80.210.118 | Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 12.5; rv:114.0) Gecko/20100101 Firefox/114.0 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id

5-03-2024 10:35:55 | IPs reserved list | IP: 103.162.37.113 ] | DNS: 103.162.37.113 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/jenis_perizinan | Referer: https://dpmptsp.tasikmalayakab.go.id/

5-03-2024 10:39:21 | IPs reserved list | IP: 185.220.69.114 ] | DNS: 185.220.69.114 | Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1264.71 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id

5-03-2024 10:39:36 | IPs reserved list | IP: 114.122.102.44 ] | DNS: 114.122.102.44 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 | URL: /spekta/main/jenis_perizinan | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:41:39 | IPs reserved list | IP: 114.122.117.173 ] | DNS: 114.122.117.173 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://dpmptsp.tasikmalayakab.go.id/

5-03-2024 10:41:44 | IPs reserved list | IP: 114.122.117.173 ] | DNS: 114.122.117.173 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: no referer

5-03-2024 10:41:49 | IPs reserved list | IP: 114.122.117.173 ] | DNS: 114.122.117.173 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://dpmptsp.tasikmalayakab.go.id/

5-03-2024 10:41:49 | IPs reserved list | IP: 36.74.41.116 ] | DNS: 36.74.41.116 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/history | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/detail/e003aef6-d9c9-11ee-91fb-2880231c8244

5-03-2024 10:41:51 | IPs reserved list | IP: 36.74.41.116 ] | DNS: 36.74.41.116 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/history | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/detail/e003aef6-d9c9-11ee-91fb-2880231c8244

5-03-2024 10:41:59 | IPs reserved list | IP: 36.74.41.116 ] | DNS: 36.74.41.116 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:42:02 | IPs reserved list | IP: 36.74.41.116 ] | DNS: 36.74.41.116 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:43:45 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0 | URL: /spekta/main | Referer: no referer

5-03-2024 10:44:25 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0 | URL: /spekta/main/pendaftaranbaru | Referer: no referer

5-03-2024 10:45:13 | IPs reserved list | IP: 5.45.85.237 ] | DNS: 5.45.85.237 | Agent: Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:114.0) Gecko/20100101 Firefox/114.0 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id

5-03-2024 10:45:35 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:45:52 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:46:01 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:46:11 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:46:25 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:46:33 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:46:43 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:46:48 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:47:12 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:47:23 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:47:37 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:48:35 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/detail/3d518113-d545-11ee-91fb-2880231c8244 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/history

5-03-2024 10:48:53 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/detail/3d518113-d545-11ee-91fb-2880231c8244 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/history

5-03-2024 10:48:59 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/history | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/detail/3d518113-d545-11ee-91fb-2880231c8244

5-03-2024 10:49:03 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/datapemohon | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/step1

5-03-2024 10:49:03 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/permohonan | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user

5-03-2024 10:49:03 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/login/dologin

5-03-2024 10:49:03 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/step1 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/permohonan

5-03-2024 10:49:04 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/login | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/pendaftaranbaru

5-03-2024 10:49:06 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/pendaftaranbaru | Referer: https://www.google.com/

5-03-2024 10:49:22 | IPs reserved list | IP: 36.74.45.177 ] | DNS: 36.74.45.177 | Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:50:50 | IPs reserved list | IP: 36.81.219.231 ] | DNS: 36.81.219.231 | Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.89 Mobile/15E148 Safari/604.1 | URL: /spekta/main/pendaftaranbaru | Referer: https://www.google.com/

5-03-2024 10:50:54 | IPs reserved list | IP: 36.81.219.231 ] | DNS: 36.81.219.231 | Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.89 Mobile/15E148 Safari/604.1 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:50:59 | IPs reserved list | IP: 36.81.219.231 ] | DNS: 36.81.219.231 | Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.89 Mobile/15E148 Safari/604.1 | URL: /spekta/main/pendaftaranbaru | Referer: https://www.google.com/

5-03-2024 10:51:04 | IPs reserved list | IP: 36.81.219.231 ] | DNS: 36.81.219.231 | Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.89 Mobile/15E148 Safari/604.1 | URL: /spekta/main | Referer: no referer

5-03-2024 10:51:06 | IPs reserved list | IP: 36.81.219.231 ] | DNS: 36.81.219.231 | Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 16_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/122.0.6261.89 Mobile/15E148 Safari/604.1 | URL: /spekta/main/permohonan/detail/f09b9b3b-bf1f-11ee-b476-2880231c8244 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/permohonan

5-03-2024 10:52:04 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:52:16 | IPs reserved list | IP: 103.25.167.46 ] | DNS: 103.25.167.46 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:54:29 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/datapemohon | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user

5-03-2024 10:54:32 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/permohonan/detail/e2057d49-d9d8-11ee-91fb-2880231c8244

5-03-2024 10:54:33 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/permohonan/detail/e2057d49-d9d8-11ee-91fb-2880231c8244 | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/permohonan

5-03-2024 10:54:34 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/permohonan | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/history

5-03-2024 10:54:36 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/history | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user

5-03-2024 10:54:39 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/user/dokumenpemohon | Referer: https://spekta.tasikmalayakab.go.id/spekta/main/user/permohonan

5-03-2024 10:54:44 | IPs reserved list | IP: 114.122.108.203 ] | DNS: 114.122.108.203 | Agent: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:54:46 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

5-03-2024 10:55:42 | IPs reserved list | IP: 114.122.77.4 ] | DNS: 114.122.77.4 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main/login | Referer: https://www.google.com/

5-03-2024 10:57:05 | IPs reserved list | IP: 101.128.102.76 ] | DNS: 101.128.102.76 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 | URL: /spekta/main | Referer: https://spekta.tasikmalayakab.go.id/

